iter	Passed	Remaining
0	161	161496
1	171	85663
2	178	59349
3	187	46682
4	194	38701
5	203	33751
6	211	29983
7	221	27495
8	229	25311
9	239	23706
10	247	22272
11	260	21458
12	271	20642
13	282	19887
14	290	19106
15	301	18543
16	310	17947
17	324	17683
18	335	17305
19	344	16902
20	357	16666
21	368	16381
22	378	16057
23	388	15818
24	401	15656
25	417	15643
26	431	15533
27	445	15471
28	467	15650
29	503	16264
30	550	17202
31	573	17346
32	594	17429
33	615	17480
34	633	17460
35	648	17371
36	662	17237
37	673	17044
38	685	16886
39	700	16807
40	713	16687
41	728	16620
42	743	16545
43	759	16494
44	775	16460
45	785	16300
46	798	16190
47	813	16125
48	825	16014
49	838	15926
50	850	15825
51	865	15775
52	876	15668
53	888	15573
54	901	15486
55	929	15672
56	954	15789
57	1022	16600
58	1052	16782
59	1127	17662
60	1157	17817
61	1219	18454
62	1269	18875
63	1298	18993
64	1332	19165
65	1375	19466
66	1398	19472
67	1425	19539
68	1454	19618
69	1475	19599
70	1488	19480
71	1506	19418
72	1520	19312
73	1531	19165
74	1544	19046
75	1557	18931
76	1569	18816
77	1580	18685
78	1592	18567
79	1605	18468
80	1624	18425
81	1636	18321
82	1646	18195
83	1659	18093
84	1671	17995
85	1683	17891
86	1694	17777
87	1707	17691
88	1721	17619
89	1733	17525
90	1744	17426
91	1755	17329
92	1768	17247
93	1779	17155
94	1790	17052
95	1805	16997
96	1820	16946
97	1832	16863
98	1842	16770
99	1854	16686
100	1868	16631
101	1880	16559
102	1892	16481
103	1903	16400
104	1917	16346
105	1929	16274
106	1939	16186
107	1952	16122
108	1964	16060
109	1975	15983
110	1985	15904
111	1997	15837
112	2009	15770
113	2018	15689
114	2030	15629
115	2042	15567
116	2052	15488
117	2063	15421
118	2073	15348
119	2083	15278
120	2094	15216
121	2105	15152
122	2119	15110
123	2132	15063
124	2145	15021
125	2160	14984
126	2171	14926
127	2181	14863
128	2193	14809
129	2204	14750
130	2215	14693
131	2227	14645
132	2237	14584
133	2248	14532
134	2259	14480
135	2271	14432
136	2282	14377
137	2293	14325
138	2305	14283
139	2318	14241
140	2333	14217
141	2345	14169
142	2355	14118
143	2367	14073
144	2378	14027
145	2389	13978
146	2399	13925
147	2411	13881
148	2421	13832
149	2431	13778
150	2442	13734
151	2457	13711
152	2475	13706
153	2491	13684
154	2512	13696
155	2533	13709
156	2575	13831
157	2593	13819
158	2606	13785
159	2619	13752
160	2629	13703
161	2642	13669
162	2656	13639
163	2669	13607
164	2679	13561
165	2693	13534
166	2706	13500
